Name,Platform,Total_reviews,Scraped_reviews,Quote,Score,Date,Author,Spoiler
Cyberpunk 2077,PlayStation 4,5430,500,"Они делали игру столько времени , да ещё и под старые консоли изначально , а в итоге на ps 4 невозможно играть , я очень уважаю CD Project Red за их ведьмака 3 , но киберпанк это провал в плане оптимизации, сама игра на 9/10 , но вот ее реализация на ps 4? Я заплатил за игру 70 dollars , а она просто не играбельна , в это не возможно играть , пока что пока не исправят ставлю 3/10 только из уважения , к самим разработчикам, надеюсь они прочитают все отзывы и сделают хоть что то , чтобы игра на ps 4 , хотя бы шла в стабильных 30 фпс и не просела нигде",3,2020-12-11,AxelWolf99,False
The Outer Worlds,PlayStation 4,499,499,"Quick review because I'm really enjoying this game. Outer Worlds is the Fallout 4 Bethesda should have gifted us with... but in space. It's charming, whacky and random, which is what I expect for these types of games. It's very much influenced by such games as New Vegas and Kotor, maybe a bit too much, but that really isn't a bad thing. If you like these two games, you'll love Outer Worlds.",10,2019-10-25,UnionJack0714,False
Dark Souls II: Scholar of the First Sin,PlayStation 4,283,283,It ain't Dark souls 1 but dang is it good.........................................................................................................................,9,2015-11-13,anonymity,False
Silent Hill HD Collection,PlayStation 3,52,52,THIS REVIEW IS BASED ON THE PATCH AS I DID NOT BUY SILENT HILL HD COLLECTION DAY ONE!! That being said I didn't have many problems with this game like all the day one purchasers out there! So...first the **** graphics:silent hill 2 graphics just plain **** seems that hijinks skipped the work of making silent hill 2 look good!? Silent hill 3 on the other hand looks great better than when I first played it actually! Gameplay:as usual the gameplay(I.E. combat) is clumsy & frustrating but not in a bad way like downpour that forces you to turn into a total coward & run from basically ALL **** clumsy combat represents how normal people would encounter horrible monsters so its not that bad once you figure that out. Story:silent hill 2 &3 are nearly unmatched when it comes to great story telling(including silent hill 1) as these games show how past developers actually went the extra mile to have players stay interested in the story! Its ESPECIALLY noticeable in silent hill 2 as James have the most engaging/enthralling story & unique experience while in silent hill(my opinion) as he suffers the most & unfortunately has a sad fate waiting in the end but heather's story is entertaining as well!! Characters:as stated previously these are two of the most  interesting characters in the silent hill series(including Harry from silent hill 1) unlike Murphy in downpour who's an uninteresting **** bag devoid of any attention grabbing emotion or backstory!! Enemy design: as usual each protagonist has certain enemies that represents their fears in some way(James=pyramid head...heather=dark alessa) they are horribly disfigured & disgusting to look at unlike downpour who's enemy design look like humans in bad ****!! Fear factor: these classics remind me of the good old days of survival horror games that don't exist today. These games will scare you as you walk down music-less hallways only hearing the twisted howls & screams of unseen enemies! Once again this is something not seen or not done correctly by new generation games which is why these games are sorley needed today! Now for the bad:the controls are last gen(its fine with me) so new gen gamers might find it difficult to play. Combat: as stated earlier its clumsy but that's a good thing here it lets the players experience how normal people struggle againts demons from hell(purgatory?)frame rate/skips: while it isn't insanely constant like in downpour which happens every 7-12seconds in that steamy pile **** it is present in this game but as stated its VERY playable.people complain about the fog effects/over all brightness but to be **** only possible to say that if you have two ps2's each playing sh 2-sh3 & a ps3 with sh2 hd-sh3hd playing side by side so I don't see the difference. All in all the good out weight the bad here & if your a true fan of silent hill 2 & 3 then you will pick up this priceless collection seeing how survival horror in this noob generation of gaming is all but dead!! 9/10,9,2012-10-09,ilovegames32,False
Dying Light 2 Stay Human,PlayStation 5,1241,500,"This game is really good. I see what they have done in 7 years, and it's amazing. Personally, I love the combat. Parkour is wonderful. The story isn't that good, but it's okay. Also, I didn't meet any bug in my 25 hours in the game.",10,2022-02-05,stepa-fear,False
Paper Mario: The Thousand-Year Door,Nintendo Switch,235,235,"I already cried when the remade intro sequence played out, and I loved this so much from start to finish.",10,2024-06-03,PeachyShine,False
Knack,PlayStation 4,334,334,"This game is an appalling disaster of bland and restrictive level design, repetitive and clunky gameplay, uninteresting and predictable narrative, and an overall botched attempt at reviving the lost genre of 3D platforming.  Knack's ability to scale and vary his powers are so contextually driven that it's pointless to give it any thought, as it barely adjusts gameplay, and everything scales with you, so there's only 1-2 sections of being giant knack that you actually feel giant.  Enemies are hardly skilled, and the game makes up for their lackluster behavior by making Knack have the defenses of a wet Kleenex, and overwhelming the player with an annoying amount of enemies.

The game hardly is a platformer, as the level rarely scales vertically in so few sections that most FPS's outdo them, and it barely makes for a brawler, as the fighting is so limited that you spend most your time mashing Square or X and Square.  Most of the game is spent determining attack order, and dying due to your wretched controls.  secrets in this game are essentially just hidden rooms in breakaway walls, 80% of which are fairly easy to find, and consist of assembling parts to ""Upgrades"" that you'll never have the desire to go back and use, as a single playthrough will leave you with the entire story.  Seeing as the game lacks nearly any replayability, Once completed, you'll be hard-pressed to have any other use for it.

I understand that this was meant to be a love letter to games like Jak and Daxter, Banjo-Kazooie, and Super Mario 64, but this failed on a massive scale.  No part of this resembles them, and even with the corridor gameplay of Crash Bandicoot (Another game from Mark Cerny), it at least had a wider range of play, better level design, and a far more fun overall feel.  From a game 17 years younger.  This isn't acceptable for a game of this generation, nor would it have been on the PlayStation 1.  About the only thing that's noteworthy are the graphics and particle effects, neither of which are terribly difficult to get wrong when dealing with the cartoon-like style of Knack.

I understand if they wanted to create a game that could appeal to younger audiences and show that even the casual market can enjoy the PS4.  However, this was a failure in a massive way, and wouldn't be worth half its cost.  I really wanted to like this game, as 3D platforming is such a dire love of mine.  This just didn't do it.  At all.",3,2014-04-23,gazingforth,False
SimCity,PC,2069,500,Send EA a strong message and do not buy this game. Always online for a single player experience is a big up yours to you as the customer. Server issues combined with the fact that they can shut it down at any time should set of alarm bells.,0,2013-03-05,Tru1ock,False
Rebel Galaxy Outlaw,PC,63,63,"Dog fighting in space can be really fun , if you can use SIDE and UP/DOWN  THRUSTERS !  In space that is possible and more fun ...but if there are no thrusters ..its like just dogfighting in the atmosphere of earth .with normal fighting planes .",5,2020-03-27,rootz,False
Metaphor: ReFantazio,PC,100,100,"Gameplay is significantly improved and streamlined compared to previous titles, but the story is very bland, unimaginative, and incredibly safe. Every twist was highly predictable just as the antagonists were, and moments that were clearly supposed to be tearjerking each fell flat on their face like dominoes. Each iteration of the franchise seems to be a watered down version and it become noticable with P5 and severe with Metaphor. Clearly to investors, Persona has become too big to fail, hence the reluctance to do anything interesting which may change the playing field. But at least it is entertaining to play through and analyze unlike other titles of this year.",5,2024-11-04,frootloopers,False
